[2025-07-30 08:43:17.302687] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.303174] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.303649] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.304162] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.504748] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.505648] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.608718] [ALLOWED] 172.3.0.196:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.609480] [ALLOWED] 172.3.0.202:52910 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:17.609998] [ALLOWED] 172.3.0.198:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:17.610474] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:17.710487] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:17.711194] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:17.711706] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.712190] [ALLOWED] 172.3.0.198:54288 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:17.713522] [ALLOWED] 172.3.0.195:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.815104] [ALLOWED] 172.3.0.158:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:17.815827] [ALLOWED] 172.3.0.192:61563 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:17.816325] [ALLOWED] 172.3.0.200:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:18.016626] [ALLOWED] 172.3.0.199:51782 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:18.017222] [ALLOWED] 172.3.0.202:52910 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:18.119532] [ALLOWED] 172.3.0.199:56583 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:18.120220] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
